french,fongbe,labels
Est-ce que quelqu’un pourrait m’aider à porter ces cartons jusqu’au troisième étage ?,Mɛɖé ka sixu d’alɔ mì bɔ un na hɛn gbǎví enɛ lɛ yì xɔta atɔngɔ́ ɔ mɛ à?,neutral
Nous souhaitons réserver une table pour huit personnes samedi soir en terrasse si possible.,"Mǐ jló na sɔ́ tavo ɖé ɖ’ayǐ nú mɛ tantɔn ɖò Samedi gbadanu ɖò kɔ́xota, enyi é nyɔ́ bló ɔ nɛ.",neutral
Avez-vous reçu ma candidature envoyée la semaine dernière pour le poste de comptable ?,A ka mɔ wema ce e è sɛ́dó we ɖò aklunɔzán gbla e wá yì é mɛ nú tɛn akwɛzinzan tɔn é à?,neutral
"Je cherche une location de vacances pour août, avec piscine et acceptant les animaux.","Un ɖò xɔ e mɛ un na nɔ bo na ɖu xwè ɖè é ba wɛ nú Avivɔsun, bo ɖó piscine bo nɔ yí kanlin xwégbe tɔn lɛ.",neutral
Pourriez-vous me dépanner de quelques euros pour régler ma note au restaurant ?,A sixu nya euro kpɛɖe nu mi bo na do su nuɖutɛn ce sin akwɛ à ?,neutral
Aurais-je la possibilité de reprogrammer notre rendez-vous prévu initialement demain matin ?,Un ka na kpéwú bo na vɔ́ hwenu e mǐ ko bló tuto na ɖò bǐbɛ̌mɛ é blóɖó sɔ zǎnzǎn à?,neutral
Je voudrais savoir si le colis commandé le 5 janvier a bien été expédié.,Un jló na tuùn ɖɔ è ko sɛ́ nǔ e è sɛ́dó ɖò azǎn atɔ́ɔ́ngɔ́ ɔ Kɔnyásun tɔn gbè é dó à jí.,neutral
Connaissez-vous un bon orthodontiste spécialisé dans le traitement des adultes dans le coin ?,A ka tuùn aɖuzɔnnɔ ɖagbe e nɔ kpé nukún dó mɛxomɔ lɛ wu ɖò xá ɔ mɛ é ɖé à?,neutral
Est-ce que ce manteau est toujours disponible en taille 40 et en coloris bleu marine ?,Kɔtu enɛ ka kpó ɖò ɖaxó 40 kpo blɔu marine kpo mɛ à?,neutral
Nous aurions besoin d’un traiteur pour notre mariage le 15 juin prochain.,Mi na ɖo hudo nuɖuɖuɖatɔ tɔn nu alɔwliwli mitɔn ɖo azan afɔtɔn nukun ɛnɛgɔ ɔ sun ayizɛn tɔn mɛ.,neutral
ci de ton aide.,È na cɛ nú we ɖó alɔdó towe wu.,positive
Je suis content de te voir.,É víví nú mì ɖɔ un mɔ we.,positive
À tout à l’heure.,Mǐ ná mɔ mi ɖò nukɔnmɛ.,neutral
Passe une bonne journée.,Azǎn ɖagbe.,positive
Avec grand plaisir.,Kpodo awǎjijɛ ɖaxó ɖé kpo.,positive
Félicitations pour ton succès.,Alɔ mitɔn ɖi e.,positive
Toutes mes condoléances.,Mi do ku nu mi tawun.,positive
Je pense beaucoup à toi.,Un nɔ lin tamɛ dó wǔ we hwɛhwɛ.,positive
Ravi d’avoir fait ta connaissance.,É víví nú mì ɖɔ un mɔ we.,positive
À la prochaine fois.,Kaka jɛ hweɖevonu.,positive
Prends bien soin de toi.,Kpé nukún dó hwiɖée wú ganjí.,neutral
Je suis désolé pour le retard.,Un byɔ hwɛsɔ́kɛ ɖó hwenu e un ɖó te é wu.,negative
C’est très gentil de ta part.,Xomɛnyínyɔ́ towe tawun wɛ nyí mɔ̌.,positive
Tu veux un café ?,A ba kafé à ?,neutral
Merci pour ton invitation.,È na cɛ nu mi nu mɛylɔwema mitɔn.,positive
Je te dois un service.,Un ɖu xomɛnyínyɔ́ ɖé sín axɔ́ dó we.,negative
Repose-toi bien.,Gbɔjɛ kpɛɖé.,positive
Bon courage pour ton examen.,Mi ɖu vivɛ nu tɛnkpɔn mitɔn.,positive
Je suis fier de toi.,Un yi go nu mi.,positive
Tout mon soutien.,Alɔdó ce bǐ.,positive
Tu me manques beaucoup.,A vɛ́ nú mì tawun.,negative
"Bonne route, à bientôt.","Mi ɖu tomɛyiyi ɖagbe, mi na mɔ miɖee zaanɖe.",positive
Je t’appelle dès que possible.,Un na yawu ylɔ we.,neutral
C’était une superbe soirée.,Gbadanu ɖagbeɖagbe ɖé wɛ.,positive
Je partage ta peine.,Un ɖo aluwɛ mɛ xá we wɛ.,negative
Bravo pour ton travail.,Azɔ̌ towe nyɔ́.,positive
